Saison;DateMatch;Journee;adversaire;lieu;joueur;Titulaire;Minutes;Buts;CartonJaune;CartonRouge
2020/21;2021-04-10;Phase de poules;Petro Luanda;Domicile;H. Ait Allal;Remp.;20;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. R. Tagnaouti;Tit.;90;;1;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;Y. Attiatallah;Tit.;90;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. Aboulfath;Tit.;90;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. Dari;Tit.;90;;1;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. El Amloud;Tit.;90;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;W. El Karti;Tit.;90;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;Y. Jabrane;Tit.;90;1;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. El Hassouni;Tit.;87;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;M. Ellafi;Tit.;60;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;A. El Kaabi;Tit.;90;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;S. Msuva;Tit.;87;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;S. Saidi;Remp.;3;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;B. Aouk;Remp.;3;;;
2020/21;2021-05-14;Quart-finale / Aller;MCA;Extérieur;M. Ounajem;Remp.;30;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. R. Tagnaouti;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. El Amloud;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. Dari;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. Aboulfath;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;Y. Attiatallah;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;Y. Jabrane;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. El Hassouni;Tit.;87;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;M. Ounajem;Tit.;89;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;W. El Karti;Tit.;90;1;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;M. Ellafi;Tit.;87;;1;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;A. El Kaabi;Tit.;90;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;B. Gadarine;Remp.;1;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;S. Msuva;Remp.;3;;;
2020/21;2021-05-22;Quart-finale / Retour;MCA;Domicile;C.I. Comara;Remp.;3;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. R. Tagnaouti;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. El Amloud;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. Dari;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. Aboulfath;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;Y. Attiatallah;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;Y. Jabrane;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. El Hassouni;Tit.;89;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;M. Ounajem;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;W. El Karti;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;M. Ellafi;Tit.;68;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;A. El Kaabi;Tit.;90;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;S. Saidi;Remp.;1;;;
2020/21;2021-06-19;Demi-finale;Kaizer Chiefs;Domicile;S. Msuva;Remp.;22;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. R. Tagnaouti;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;Y. Attiatallah;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. Farhane;Tit.;90;;1;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;Y. Jabrane;Tit.;90;;1;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. Dari;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. El Amloud;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;M. Ounajem;Tit.;89;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. El Hassouni;Tit.;70;;1;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;S. Msuva;Tit.;46;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;W. El Karti;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. El Kaabi;Tit.;90;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;A. Skouma;Remp.;20;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;Z. El-Moutaraji;Remp.;1;;;
2020/21;2021-06-26;Demi-finale;Kaizer Chiefs;Extérieur;M. Ellafi;Remp.;44;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. Dari;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. El Amloud;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. El Hassouni;Tit.;84;;1;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. R. Tagnaouti;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;A. Serrhat;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;C.I. Comara;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;M. Ellafi;Tit.;84;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;S. Msuva;Tit.;90;;;
2021/22;2021-10-17;Deuxième tour;Herats of Oak;Extérieur;Y. Attiatallah;Tit.;90;;;
