Saison;DateMatch;Journee;Equipe;Competition;Lieu;Score
1963-64;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-3
1963-64;;;Mouloudia Club Oujda;Championnat;Exterieur;2-1
1963-64;;;Maghreb Association Sportive;Championnat;Exterieur;0-1
1963-64;;;Forces Armees Royales;Championnat;Domicile;1-1
1963-64;;;Stade Marocain;Championnat;Domicile;1-0
1963-64;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;1-1
1963-64;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1963-64;;;Maghreb Association Sportive;Championnat;Domicile;1-1
1963-64;;;Fath Union Sport;Championnat;Domicile;1-2
1963-64;;;Kenitra Athletic Club;Championnat;Domicile;1-1
1963-64;;;Raja Club Athletic;Championnat;Domicile;1-1
1963-64;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;2-0
1963-64;;;Hassania Union Sport Agadir;Championnat;Domicile;0-0
1963-64;;;Racing Athletic Club;Championnat;Domicile;1-1
1963-64;;;Etoile Jeunesse Sportive Casablanca;Championnat;Domicile;1-0
1963-64;;;Moghreb Sportif de Rabat;Championnat;Domicile;3-1
1963-64;;;Fath Union Sport;Championnat;Exterieur;2-2
1963-64;;;Kenitra Athletic Club;Championnat;Exterieur;1-3
1963-64;;;Raja Club Athletic;Championnat;Exterieur;1-0
1963-64;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;1-2
1963-64;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-1
1963-64;;;Racing Athletic Club;Championnat;Exterieur;1-2
1963-64;;;Etoile Jeunesse Sportive Casablanca;Championnat;Exterieur;0-0
1963-64;;;Moghreb Sportif de Rabat;Championnat;Exterieur;1-1
1964-65;;;Maghreb Association Sportive;Championnat;Exterieur;0-1
1964-65;;;Racing Athletic Club;Championnat;Exterieur;0-1
1964-65;;;Club Omnisport de Meknes;Championnat;Exterieur;0-1
1964-65;;;Forces Armees Royales;Championnat;Exterieur;1-1
1964-65;;;Maghreb Association Sportive;Championnat;Domicile;0-1
1964-65;;;Racing Athletic Club;Championnat;Domicile;2-3
1964-65;;;Club Omnisport de Meknes;Championnat;Domicile;2-0
1964-65;;;Forces Armees Royales;Championnat;Domicile;0-0
1964-65;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-1
1964-65;;;Fath Union Sport;Championnat;Domicile;2-0
1964-65;;;Tihad Athletic Sport;Championnat;Domicile;0-0
1964-65;;;Stade Marocain;Championnat;Domicile;1-1
1964-65;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;1-0
1964-65;;;Mouloudia Club Oujda;Championnat;Domicile;1-1
1964-65;;;Raja Club Athletic;Championnat;Domicile;2-1
1964-65;;;Hassania Union Sport Agadir;Championnat;Domicile;3-0
1964-65;;;Kenitra Athletic Club;Championnat;Domicile;1-0
1964-65;;;Kawkab Athletic Club de Marrakech;Championnat;Exterieur;0-1
1964-65;;;Fath Union Sport;Championnat;Exterieur;1-2
1964-65;;;Tihad Athletic Sport;Championnat;Exterieur;0-0
1964-65;;;Stade Marocain;Championnat;Exterieur;2-2
1964-65;;;Sporting Club Chabab de Mohammedia;Championnat;Exterieur;1-0
1964-65;;;Mouloudia Club Oujda;Championnat;Exterieur;1-0
1964-65;;;Raja Club Athletic;Championnat;Exterieur;1-1
1964-65;;;Hassania Union Sport Agadir;Championnat;Exterieur;2-2
1964-65;;;Kenitra Athletic Club;Championnat;Exterieur;2-1
1965-66;;;Raja Club Athletic;Championnat;Domicile;0-0
1965-66;;;Renaissance Sportive de Settat;Championnat;Domicile;1-0
1965-66;;;Sporting Club Chabab de Mohammedia;Championnat;Domicile;1-0
1965-66;;;Kawkab Athletic Club de Marrakech;Championnat;Domicile;1-0
1965-66;;;Tihad Athletic Sport;Championnat;Domicile;1-0
1965-66;;;Hassania Union Sport Agadir;Championnat;Domicile;3-1
1965-66;;;Stade Marocain;Championnat;Domicile;0-0
1965-66;;;Mouloudia Club Oujda;Championnat;Domicile;0-0
1965-66;;;Racing Athletic Club;Championnat;Domicile;2-1
